value_sequence,finalLabel
-0.045929 -0.042877 -0.026703 -0.01236 -0.004272 0.003052 0.003204 0.008698 0.007019 0.00473 0.001831 0.00351 0.008087 0.003662 0.003967 0.002136 -0.00473 -0.00473 -0.007782 -0.012054,0
-0.4953 -0.641327 -0.861969 -0.960999 -0.962677 -0.845947 -0.58075 -0.413818 -0.37384 -0.399628 -0.417633 -0.386047 -0.288239 -0.15625 -0.06073 -0.005493 0.016022 0.016174 0.008087 -0.00473 -0.007324 -0.007629 -0.006256 -0.005035 -0.000916 0.008545 0.014191 0.017853 0.020142 0.021057 0.022888 0.017395 0.01358 0.01358 0.01297 0.024414 0.035706 0.040741 0.040283 0.03891 0.027008 0.016479 0.006409 -0.011139 -0.023651 -0.037842 -0.035858 -0.013275 0.00824 0.024414 0.033875 0.033264 0.022583 0.005951 -0.004272 -0.018768 -0.025177 -0.024719 -0.023651 -0.010834 -0.004425,0
0.000153 0.000916 0.009003 0.019684 0.056152 0.154114 0.343933 0.602264 0.806122 0.920563 0.965118 0.914001 0.725098 0.432434 0.116577 -0.157623 -0.445557 -0.676422 -0.810089 -0.912476 -0.9729 -0.945282 -0.824585 -0.628052 -0.386658 -0.17746 -1e-05,1
0.0,0
1e-05 0.00885 0.236359 0.588379 0.957642 1.139679 1.099243 0.783539 0.252533 -0.321045 -0.797729 -1.056519 -1.079559 -0.907135 -0.602417 -0.310516 -0.085449 -1e-05,1
0.0,0
1e-05 0.116882 0.380096 0.673828 0.85968 0.903625 0.793762 0.505981 0.106812 -0.305786 -0.665436 -0.891113 -0.939026 -0.820312 -0.534668 -0.106201 -1e-05,1
0.0,0
1e-05 0.43045 0.995636 1.255493 1.296234 1.282806 1.04538 0.498047 -0.093842 -0.690613 -1.166992 -1.386108 -1.335449 -1.246033 -1.076813 -0.612946 -0.29129 -0.101624 -0.000916 -1e-05,1
0.0,0
0.016632 0.0383 0.049591 0.040741 0.035248 0.028839 0.025024 0.022583 0.026093 0.013885 0.015869 0.009918 0.008392 0.006714 -0.005341 -0.013123 -0.015717 -0.015411 -0.014191 -0.005341,0
0.002441 0.009766 0.013123 0.033112 0.094299 0.232697 0.434418 0.607605 0.666656 0.600739 0.391388 0.075989 -0.266113 -0.532074 -0.677185 -0.701599 -0.603485 -0.409698 -0.206146 -0.079651 -0.013123,1
0.012665 0.0354 0.057983 0.069427 0.081482 0.08316 0.059204 0.016022 -0.027008 -0.045929 -0.035706 -0.037689 -0.020447 0.00351 0.017548 0.006714 -0.006104 -0.003357 0.002747 0.006714 0.00885 0.024872 0.033112 0.032196 0.021362 0.009308 -0.006104 -0.023804 -0.029602 -0.037079 -0.036011 -0.030975 -0.033112 -0.026093 -0.028229 -0.016937,0
0.018921 0.049744 0.083923 0.113831 0.10849 0.06546 0.004272 -0.045166 -0.076752 -0.089874 -0.079803 -0.054779 -0.037689 -0.016022 -0.004272 0.002136 0.004272 0.003052 0.006714 0.008698 0.009766 0.007324 0.00351 0.005798 0.013733 0.014191 0.012665 0.007477 0.01297 0.014343 0.009308 0.007935 0.009766 0.005798 0.00061 -0.000305 0.002594 0.002136 -0.001526 -0.006866 -0.009155 -0.010376 -0.015564 -0.013428 -0.012207 -0.011597 -0.01297 -0.010223 -0.003052 -0.003204 -0.004883 -0.001678,0
0.009766 0.059814 0.166473 0.344391 0.573883 0.724335 0.750275 0.551453 0.17395 -0.219727 -0.560608 -0.746765 -0.779724 -0.668793 -0.436707 -0.211792 -0.079651 -0.029144 -0.012665 -0.012054 -0.011597 -0.00946,1
-0.012512 -0.009003 -0.007019 0.003815 0.01297 0.014648 0.02121 0.013123 0.011597 -0.002899 -0.015106 -0.021057 -0.027008 -0.023804 -0.023346 -0.017548 -0.016937 -0.001678 -0.004272 -0.005493 -0.011139 -0.011139 -0.009613 -0.013733 -0.013885 -0.006104 -0.005798 -0.011444 -0.006256 -0.009613 -0.011597 -0.014954,0
3.192902 2.124329 0.302124 -1.638184 -2.935181 -3.29071 -3.222656 -2.65274 -1.592102 -0.7341 -0.244751 -0.062103 -0.009003 -0.005646 0.005798 0.003662 0.012665 0.018616 0.028687 0.033112 0.035706 0.038605 0.041504 0.05127 0.058899 0.063019 0.06134 0.065308 0.059357 0.054321 0.04425 0.041809 0.044098 0.041046 0.037079 0.03891 0.046387 0.04303 0.040283 0.037537 0.033722 0.029297 0.021515 0.026093 0.047607 0.076599 0.090332 0.081635 0.066528 0.058441 0.05249 0.051422 0.04837 0.047302 0.047607 0.037689 0.017548 0.004883 -0.005035 -0.013885 -0.011749,0
